NODE	SUBGRPAH_ID	ORBIT	RAW_COUNT	WEIGHTED_COUNT
171619	NA	17	324	202,46106
171619	NA	18	19994	13533,71997
171619	NA	19	11067	6915,54498
171619	NA	20	1716	999,37296
171619	NA	21	129	75,12769
171619	NA	22	5842	3954,38592
171619	NA	23	1	0,67689
171619	NA	24	596	403,42588
171619	NA	25	0	0
171619	NA	26	0	0
171619	NA	27	142	96,11825
171619	NA	28	15	8,73578
171619	NA	29	0	0
171619	NA	30	0	0
171619	NA	31	152	102,88714
171619	NA	32	0	0
171619	NA	33	0	0
171619	NA	34	2	1,16477
171619	NA	35	67	41,86695
171619	NA	36	0	0
171619	NA	37	0	0
171619	NA	38	0	0
171619	NA	39	4	2,49952
171619	NA	40	0	0
171619	NA	41	0	0
171619	NA	42	0	0
171619	NA	43	0	0
171619	NA	44	0	0
171619	NA	45	2	1,24976
171619	NA	46	0	0
171619	NA	47	0	0
171619	NA	48	0	0
171619	NA	49	0	0
171619	NA	50	0	0
171619	NA	51	0	0
171619	NA	52	0	0
171619	NA	53	0	0
171619	NA	54	0	0
171619	NA	55	0	0
171619	NA	56	0	0
171619	NA	57	0	0
171619	NA	58	0	0
171619	NA	59	0	0
171619	NA	60	0	0
171619	NA	61	0	0
171619	NA	62	0	0
171619	NA	63	0	0
171619	NA	64	0	0
171619	NA	65	0	0
171619	NA	66	0	0
171619	NA	67	0	0
171619	NA	68	0	0
171619	NA	69	0	0
171619	NA	70	0	0
171619	NA	71	0	0
171619	NA	72	0	0
171627	NA	0	1	1
171627	NA	1	19	15,93045
171627	NA	2	0	0
171627	NA	3	0	0
171627	NA	4	150	111,5911
171627	NA	5	0	0
171627	NA	6	169	125,72597
171627	NA	7	0	0
171627	NA	8	0	0
171627	NA	9	2	1,48788
171627	NA	10	0	0
171627	NA	11	0	0
171627	NA	12	0	0
171627	NA	13	0	0
171627	NA	14	0	0
171627	NA	15	2659	1799,84802
171627	NA	16	0	0
171627	NA	17	0	0
171627	NA	18	4305	2914,00743
171627	NA	19	2467	1541,57852
171627	NA	20	0	0
171627	NA	21	0	0
171627	NA	22	936	633,56816
171627	NA	23	0	0
171627	NA	24	187	126,57826
171627	NA	25	0	0
171627	NA	26	0	0
171627	NA	27	70	47,38223
171627	NA	28	0	0
171627	NA	29	0	0
171627	NA	30	0	0
